author,claps,responses,title,link,sentiment
,0,0,,https://medium.com/search?source=---top_nav_layout_nav----------------------------------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F971fe0592b0e&operation=register&redirect=https%3A%2F%2Fmedium.com%2F%40ali.eth%2Fdo-not-let-anyone-intimidate-you-with-their-win-or-success-here-is-why-971fe0592b0e&source=---recommended_stories---web---6-84----------------bookmark_preview----ffcc51d3_1d83_492d_8ec7_496724c5e520-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fae42b52a70a3&operation=register&redirect=https%3A%2F%2Flevelup.gitconnected.com%2Fcors-finally-explained-simply-ae42b52a70a3&source=---recommended_stories---web---5-85----------------bookmark_preview----ffcc51d3_1d83_492d_8ec7_496724c5e520-------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2Fsignedin%2Fsubscriptions%2Ftag%2Fweb%3FfollowSource%3Dtopics_v2&operation=register&redirect=https%3A%2F%2Fmedium.com%2Ftag%2Fweb&source=------web--------------------follow_tag-----------,
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2F33183f25e49c&operation=register&redirect=https%3A%2F%2Fmichalmalewicz.medium.com%2Fmy-secret-to-perfect-layout-revealed-33183f25e49c&source=---recommended_stories---web---4-107----------------bookmark_preview----ffcc51d3_1d83_492d_8ec7_496724c5e520-------,
Michal Malewicz,0,10,The Gaze Principle,https://medium.com/@michalmalewicz/the-gaze-principle-d93508f5fc6b?source=topic_portal---recommended_stories---web---7-107--------------------ffcc51d3_1d83_492d_8ec7_496724c5e520-------,Neutral
,0,0,,https://medium.com/m/signin?operation=register&redirect=https%3A%2F%2Fmedium.com%2Fnew-story&source=---top_nav_layout_nav-----------------------new_post_topnav-----------,
Ronak Maheshwari,0,2,Rest API vs Web Socket API,https://medium.com/javascript-in-plain-english/rest-api-vs-web-socket-api-0c81535ad51a?source=topic_portal---recommended_stories---web---2-85--------------------ffcc51d3_1d83_492d_8ec7_496724c5e520-------,Neutral
Sharmila Jesupaul,0,4,Adopting Bazel for Web at Scale,https://medium.com/airbnb-engineering/adopting-bazel-for-web-at-scale-a784b2dbe325?source=topic_portal---recommended_stories---web---1-107--------------------ffcc51d3_1d83_492d_8ec7_496724c5e520-------,Neutral
,0,0,,https://medium.com/m/signin?actionUrl=https%3A%2F%2Fmedium.com%2F_%2Fbookmark%2Fp%2Fa784b2dbe325&operation=register&redirect=https%3A%2F%2Fmedium.com%2Fairbnb-engineering%2Fadopting-bazel-for-web-at-scale-a784b2dbe325&source=---recommended_stories---web---1-107----------------bookmark_preview----ffcc51d3_1d83_492d_8ec7_496724c5e520-------,
